Neighborhood,Average Price,5 Year Price Growth
Ahuntsic-Cartierville,565560,19.68%
Anjou,396957,4.66%
Beaconsfield,704917,32.33%
Cote-des-Neiges--Notre-Dame-de-Grace,744729,18.11%
Côte-Saint-Luc,622295,17.76%
Dollard-Des Ormeaux,488793,20.92%
Dorval,464440,14.62%
Kirkland,607191,27.51%
L'Ile-Bizard--Sainte-Genevieve,518800,
Lachine,442126,26.22%
LaSalle,447021,19.21%
Mercier-Hochelaga-Maisonneuve,359739,14.10%
Mont-Royal,1630918,22.84%
Montréal-Nord,299472,10.52%
Montréal-Ouest,706981,16.03%
Outremont,1665210,
Pierrefonds--Roxboro,376115,10.05%
Plateau-Mont-Royal,838636,19.59%
Pointe-aux-Trembles-Rivieres-des-Prairies,312335,8.47%
Rosemont--La-Petite-Patrie,585431,43.33%
Saint-Laurent,606828,18.40%
St-Leonard,453933,
Sud-Ouest,525435,28.71%
Verdun--Ile-des-Soeurs,536734,35.74%
Ville-Marie,1018513,33.00%
Villeray-Saint-Michel-Parc-Extension,390595,19.88%
